math,science,logical,creative,tech,business,career
83,98,8,5,5,4,Doctor
59,61,6,8,3,3,Psychologist
55,46,9,8,2,7,Lawyer
80,69,6,4,8,6,Data Analyst
85,57,9,4,5,10,Finance Analyst
79,90,8,5,5,4,Biomedical Researcher
85,71,7,8,6,3,Architect
58,52,3,6,5,10,Marketing Manager
70,78,9,5,10,2,Cybersecurity Analyst
67,61,8,6,2,8,Civil Services
55,39,5,5,4,9,Marketing Manager
72,97,9,5,5,4,Biomedical Researcher
63,69,6,7,3,5,Psychologist
90,81,9,4,10,2,AI Engineer
70,51,7,6,4,9,Product Manager
68,74,7,9,3,5,Teacher
78,70,6,6,6,9,Product Manager
79,82,7,9,4,3,Architect
91,62,8,4,4,9,Finance Analyst
71,69,9,5,8,6,Data Analyst
73,57,8,3,5,9,Finance Analyst
46,48,5,10,6,3,UI/UX Designer
54,60,7,8,4,7,Psychologist
86,37,8,2,5,10,Finance Analyst
58,47,5,6,5,9,Marketing Manager
52,54,4,7,4,10,Marketing Manager
73,71,6,7,2,4,Teacher
78,64,7,8,6,4,Architect
88,90,9,4,10,2,AI Engineer
65,67,5,8,4,4,Teacher
88,87,10,4,9,3,AI Engineer
54,66,6,6,4,7,Civil Services
89,63,5,3,6,10,Finance Analyst
64,62,7,6,3,8,Civil Services
70,79,8,4,9,6,Data Analyst
81,63,7,6,8,3,Software Engineer
88,76,7,7,9,4,Software Engineer
83,65,8,2,4,10,Finance Analyst
77,70,6,9,5,3,Architect
62,65,6,8,3,5,Teacher
47,53,4,10,5,5,UI/UX Designer
73,63,6,5,1,8,Civil Services
60,80,7,9,4,4,Teacher
69,75,7,8,3,5,Teacher
62,43,5,6,5,10,Marketing Manager
51,41,4,10,7,5,UI/UX Designer
58,69,6,8,2,5,Psychologist
80,68,9,3,10,4,Software Engineer
58,68,6,7,2,4,Teacher
58,69,6,8,3,4,Psychologist
72,77,7,3,9,2,Cybersecurity Analyst
52,64,4,8,4,5,Psychologist
81,65,6,9,4,5,Architect
93,84,9,5,9,2,AI Engineer
73,71,8,4,8,5,Data Analyst
80,98,9,4,4,3,Doctor
96,85,10,4,9,4,AI Engineer
73,65,8,5,9,2,Software Engineer
82,63,7,8,5,3,Architect
66,65,8,7,5,9,Civil Services
52,60,7,8,3,5,Psychologist
65,60,8,7,1,8,Civil Services
64,61,5,8,4,10,Marketing Manager
63,73,8,5,7,5,Data Analyst
84,81,10,6,10,4,AI Engineer
88,91,9,5,3,2,Doctor
69,43,9,7,1,7,Lawyer
48,45,4,10,7,5,UI/UX Designer
51,53,3,6,3,10,Marketing Manager
88,88,10,5,10,4,AI Engineer
57,63,6,7,1,5,Teacher
51,76,7,8,3,5,Psychologist
52,61,8,8,6,10,Product Manager
66,59,4,7,3,6,Teacher
44,35,5,10,6,6,Content Creator
76,63,9,9,6,5,Architect
71,100,7,5,7,3,Biomedical Researcher
85,81,9,4,10,3,AI Engineer
89,69,8,4,4,10,Finance Analyst
72,58,7,6,3,7,Civil Services
39,42,3,10,6,7,Content Creator
68,92,8,5,5,4,Biomedical Researcher
78,62,9,5,5,9,Finance Analyst
55,50,5,7,4,8,Marketing Manager
74,63,9,6,3,8,Civil Services
66,67,8,6,3,8,Civil Services
65,53,9,8,3,7,Lawyer
59,60,8,6,3,7,Civil Services
81,81,8,4,8,4,AI Engineer
93,92,8,2,3,4,Doctor
80,77,9,6,9,4,Software Engineer
73,82,7,5,9,6,Data Analyst
73,95,7,5,5,3,Biomedical Researcher
56,52,3,6,5,9,Marketing Manager
67,83,7,8,4,4,Teacher
63,46,5,6,4,9,Marketing Manager
63,71,8,5,2,8,Civil Services
52,69,6,7,6,9,Product Manager
47,53,4,9,7,6,UI/UX Designer
65,33,6,6,5,9,Marketing Manager
72,75,7,5,4,9,Civil Services
53,51,5,6,4,10,Marketing Manager
78,70,9,4,7,6,Data Analyst
84,89,8,5,3,3,Doctor
70,82,6,4,8,6,Data Analyst
84,79,8,5,8,4,Software Engineer
80,60,8,3,4,10,Finance Analyst
73,38,10,8,3,8,Lawyer
64,65,6,8,4,4,Psychologist
79,83,8,4,6,4,Data Analyst
64,74,6,9,3,5,Teacher
69,59,5,8,6,9,Product Manager
57,56,5,7,5,9,Marketing Manager
58,73,9,7,4,9,Civil Services
77,78,8,5,6,6,Data Analyst
53,68,7,7,4,5,Teacher
64,68,8,6,2,9,Civil Services
74,93,8,7,4,3,Biomedical Researcher
77,71,9,3,9,3,Software Engineer
53,42,3,9,9,3,UI/UX Designer
58,50,6,8,3,6,Psychologist
71,62,10,6,2,8,Civil Services
81,94,10,3,10,3,AI Engineer
55,42,5,8,4,9,Marketing Manager
59,63,9,6,2,6,Lawyer
84,93,7,5,5,3,Doctor
60,58,6,8,4,7,Psychologist
44,42,6,9,6,8,Content Creator
43,49,4,9,6,5,UI/UX Designer
78,79,7,3,8,6,Data Analyst
67,49,7,7,6,8,Product Manager
82,63,8,5,9,4,Software Engineer
78,78,9,2,10,2,Cybersecurity Analyst
56,53,6,9,5,6,UI/UX Designer
78,90,7,4,3,3,Doctor
75,70,8,4,6,4,Data Analyst
42,51,4,9,5,7,Content Creator
74,70,6,3,7,5,Data Analyst
73,65,9,7,3,8,Civil Services
52,40,8,6,2,8,Lawyer
93,86,9,2,9,2,AI Engineer
86,98,7,5,4,4,Doctor
68,65,8,6,2,7,Civil Services
69,56,7,6,2,9,Civil Services
52,45,5,9,7,6,UI/UX Designer
57,54,9,7,3,6,Lawyer
57,48,7,7,2,5,Teacher
53,61,5,8,3,5,Psychologist
55,68,5,8,4,7,Psychologist
79,90,6,5,4,2,Biomedical Researcher
48,40,4,10,8,4,UI/UX Designer
80,97,6,5,6,3,Doctor
51,62,5,7,2,4,Psychologist
65,64,5,8,6,9,Product Manager
54,41,6,8,2,10,Marketing Manager
50,59,5,8,4,5,Psychologist
46,59,5,8,4,9,Marketing Manager
71,59,10,6,2,9,Civil Services
65,54,9,6,3,6,Lawyer
88,90,7,6,5,3,Doctor
51,56,5,9,6,4,UI/UX Designer
79,85,9,5,10,3,Cybersecurity Analyst
50,51,5,8,5,9,Marketing Manager
73,94,7,4,4,3,Biomedical Researcher
68,72,8,9,4,3,Architect
95,96,8,4,5,2,Doctor
71,71,8,4,8,6,Data Analyst
61,50,5,7,3,10,Marketing Manager
81,88,6,5,5,2,Biomedical Researcher
82,71,7,4,10,3,Software Engineer
59,42,6,8,6,9,Product Manager
86,77,9,2,10,3,Cybersecurity Analyst
38,42,4,9,8,6,UI/UX Designer
86,64,8,3,5,9,Finance Analyst
69,69,6,8,4,5,Teacher
72,71,9,4,9,6,Data Analyst
76,70,8,4,5,9,Finance Analyst
50,47,3,10,7,6,Content Creator
62,39,4,8,4,10,Marketing Manager
91,66,10,3,10,3,Cybersecurity Analyst
70,53,9,6,2,7,Lawyer
73,92,6,7,5,2,Biomedical Researcher
96,81,10,4,9,3,AI Engineer
45,61,5,9,2,6,Psychologist
80,68,8,4,6,7,Data Analyst
86,85,9,3,9,2,AI Engineer
74,74,8,6,9,4,Software Engineer
63,60,9,7,1,6,Lawyer
72,88,8,2,9,3,Cybersecurity Analyst
68,72,7,4,7,6,Data Analyst
85,56,7,9,4,3,Architect
56,52,6,7,2,10,Marketing Manager
54,71,6,8,4,5,Psychologist
60,45,9,8,2,8,Lawyer
71,78,7,9,7,4,Architect
75,65,8,4,5,10,Finance Analyst
86,64,9,4,6,9,Finance Analyst
75,66,7,9,6,4,Architect
46,39,3,10,5,5,UI/UX Designer
68,57,8,6,2,7,Civil Services
79,59,7,9,2,4,Architect
48,53,6,6,4,9,Marketing Manager
65,73,7,7,4,4,Teacher
56,73,4,8,3,6,Teacher
51,43,4,9,6,7,Content Creator
70,97,7,4,5,1,Biomedical Researcher
57,47,6,10,8,6,UI/UX Designer
73,65,9,6,3,9,Civil Services
48,41,5,10,7,7,UI/UX Designer
86,69,8,5,9,4,Software Engineer
48,56,6,7,3,5,Psychologist
65,50,5,7,5,10,Marketing Manager
62,63,5,9,3,5,Psychologist
53,43,5,7,4,9,Marketing Manager
76,91,7,6,2,4,Biomedical Researcher
51,67,5,7,2,7,Psychologist
79,81,9,2,10,4,Cybersecurity Analyst
74,63,7,9,5,3,Architect
77,81,9,4,10,5,Software Engineer
77,60,5,8,5,4,Architect
91,82,10,4,9,3,AI Engineer
37,41,5,10,5,7,Content Creator
53,54,8,8,3,7,Lawyer
70,61,8,7,2,8,Civil Services
82,67,7,5,8,6,Data Analyst
57,42,9,7,3,7,Lawyer
66,69,8,5,3,8,Civil Services
53,59,5,9,4,5,UI/UX Designer
74,71,8,2,8,7,Data Analyst
45,37,5,9,6,4,UI/UX Designer
86,69,10,4,9,2,Cybersecurity Analyst
85,50,8,3,5,10,Finance Analyst
41,59,4,10,7,5,UI/UX Designer
76,60,7,3,9,5,Data Analyst
78,67,8,4,10,3,Software Engineer
76,84,6,6,5,2,Biomedical Researcher
85,69,7,6,10,3,Software Engineer
74,91,8,4,7,2,Biomedical Researcher
42,37,5,9,6,5,UI/UX Designer
59,55,4,8,4,10,Marketing Manager
69,54,5,6,6,9,Product Manager
85,64,8,10,3,4,Architect
90,94,7,4,3,3,Doctor
48,54,4,10,7,5,UI/UX Designer
72,75,10,2,9,2,Cybersecurity Analyst
54,37,6,9,7,4,UI/UX Designer
68,69,7,4,7,6,Data Analyst
47,60,7,8,1,4,Psychologist
62,58,9,7,2,6,Lawyer
64,70,6,9,2,5,Psychologist
72,73,8,5,8,5,Data Analyst
44,44,4,9,6,5,UI/UX Designer
56,54,6,8,4,5,Psychologist
70,69,7,9,4,4,Architect
69,77,8,3,9,3,Cybersecurity Analyst
79,79,7,4,8,6,Data Analyst
77,97,7,5,7,2,Biomedical Researcher
53,48,4,10,7,4,UI/UX Designer
69,68,8,6,3,8,Civil Services
42,43,4,10,6,5,UI/UX Designer
71,55,9,7,1,6,Lawyer
48,47,5,7,3,9,Marketing Manager
56,67,8,7,6,10,Product Manager
57,55,7,6,6,8,Product Manager
81,58,7,9,5,4,Architect
44,56,5,9,6,5,UI/UX Designer
66,63,8,7,3,9,Civil Services
79,63,9,4,9,4,Cybersecurity Analyst
81,97,7,5,3,3,Doctor
54,44,3,8,5,9,Marketing Manager
78,84,6,4,3,2,Biomedical Researcher
61,61,6,8,3,5,Psychologist
80,60,8,5,4,7,Civil Services
66,70,6,9,4,4,Teacher
58,58,6,8,2,7,Psychologist
86,79,8,5,9,3,Software Engineer
69,64,5,8,4,5,Teacher
47,39,2,9,6,7,Content Creator
84,78,8,5,8,3,Software Engineer
72,62,8,4,7,5,Data Analyst
57,64,3,8,5,9,Marketing Manager
65,65,6,9,4,4,Psychologist
65,73,6,8,4,4,Teacher
86,96,7,4,3,4,Doctor
58,61,6,6,8,9,Product Manager
82,65,7,3,9,4,Data Analyst
65,53,9,6,4,7,Civil Services
83,55,6,3,6,10,Finance Analyst
74,89,7,4,2,2,Doctor
79,65,7,4,8,6,Data Analyst
75,100,8,5,5,4,Doctor
82,74,10,3,10,4,Cybersecurity Analyst
73,72,8,3,10,3,Cybersecurity Analyst
53,53,6,7,5,9,Product Manager
52,52,5,7,4,10,Marketing Manager
72,70,8,4,7,7,Data Analyst
66,65,7,7,6,9,Product Manager
76,68,9,9,6,5,Architect
83,69,8,3,5,10,Finance Analyst
71,70,4,7,4,3,Teacher
85,86,8,3,10,3,AI Engineer
78,71,8,3,10,3,Cybersecurity Analyst
77,95,7,4,3,3,Biomedical Researcher
69,70,7,6,4,4,Teacher
70,66,7,5,3,8,Civil Services
69,95,7,5,3,3,Biomedical Researcher
39,59,6,9,7,5,UI/UX Designer
71,70,5,8,5,3,Teacher
85,81,8,5,9,4,Software Engineer
55,48,4,10,5,8,Content Creator
87,41,7,3,5,9,Finance Analyst
44,54,4,9,6,7,Content Creator
62,68,6,8,4,6,Psychologist
75,84,6,3,5,3,Biomedical Researcher
79,76,9,3,9,3,Cybersecurity Analyst
53,43,9,8,3,8,Lawyer
59,72,5,8,3,4,Teacher
57,51,10,7,2,7,Lawyer
57,58,6,7,3,10,Marketing Manager
86,84,9,5,10,1,AI Engineer
60,60,7,4,8,6,Data Analyst
91,66,8,5,6,10,Finance Analyst
86,85,10,4,9,3,AI Engineer
50,46,5,9,4,8,Content Creator
90,99,7,3,4,3,Doctor
60,49,8,8,3,8,Lawyer
89,85,9,3,9,3,AI Engineer
71,69,8,5,4,9,Civil Services
53,44,5,9,5,5,UI/UX Designer
76,70,6,7,2,2,Teacher
83,91,7,5,5,2,Biomedical Researcher
60,55,7,6,7,9,Product Manager
49,50,5,8,4,10,Marketing Manager
85,49,8,3,5,9,Finance Analyst
75,68,5,7,2,5,Teacher
66,58,6,7,7,9,Product Manager
78,65,7,3,6,10,Finance Analyst
88,86,10,3,10,2,AI Engineer
75,68,7,10,6,5,Architect
81,58,8,9,4,6,Architect
81,61,8,10,4,4,Architect
52,65,6,8,3,6,Psychologist
42,36,4,8,7,4,UI/UX Designer
85,61,8,2,5,9,Finance Analyst
39,50,3,7,6,9,Marketing Manager
51,32,4,10,5,7,Content Creator
55,52,9,7,4,7,Lawyer
59,86,5,8,3,2,Teacher
49,78,6,9,3,5,Psychologist
61,49,10,7,2,8,Lawyer
60,62,6,8,3,6,Psychologist
74,61,9,4,8,6,Data Analyst
66,87,6,4,6,2,Biomedical Researcher
35,38,4,8,8,5,UI/UX Designer
87,72,7,9,4,3,Architect
83,94,8,5,2,3,Doctor
76,57,8,4,8,6,Data Analyst
66,73,8,4,10,3,Software Engineer
61,42,9,6,1,7,Lawyer
90,75,9,3,9,3,Cybersecurity Analyst
63,75,6,8,3,5,Teacher
55,69,6,7,4,5,Psychologist
53,56,8,7,1,7,Lawyer
91,83,8,6,8,4,Software Engineer
67,67,7,6,2,8,Civil Services
65,73,6,7,4,4,Teacher
80,93,7,5,5,2,Biomedical Researcher
74,92,8,5,3,4,Biomedical Researcher
60,59,7,6,7,10,Product Manager
56,51,6,7,4,9,Marketing Manager
58,45,6,7,5,10,Marketing Manager
56,34,6,10,6,7,Content Creator
75,66,7,9,5,1,Architect
80,53,9,9,7,4,Architect
45,41,5,9,5,7,Content Creator
58,60,6,8,3,6,Psychologist
77,71,8,5,8,5,Data Analyst
71,61,8,5,4,8,Civil Services
84,60,9,3,7,9,Finance Analyst
54,57,4,7,3,9,Marketing Manager
75,95,9,5,5,2,Biomedical Researcher
56,62,6,8,3,5,Psychologist
76,92,7,6,3,2,Doctor
71,52,8,5,3,8,Civil Services
84,78,7,4,5,10,Finance Analyst
43,42,5,10,7,6,Content Creator
62,56,6,5,5,9,Product Manager
77,90,8,4,4,3,Biomedical Researcher
78,96,6,4,3,3,Doctor
35,35,5,10,6,7,Content Creator
63,58,7,6,5,9,Product Manager
56,41,6,7,3,10,Marketing Manager
62,74,5,7,4,5,Teacher
72,60,8,6,3,8,Civil Services
51,55,6,8,2,4,Psychologist
84,59,8,2,5,9,Finance Analyst
56,54,5,9,7,5,UI/UX Designer
76,68,7,9,5,3,Architect
81,70,7,4,8,6,Data Analyst
62,56,9,7,3,8,Lawyer
73,75,7,3,8,5,Data Analyst
80,65,8,4,6,9,Finance Analyst
81,83,8,3,8,3,Software Engineer
56,50,4,7,5,10,Marketing Manager
68,40,10,7,4,7,Lawyer
53,49,9,7,4,7,Lawyer
90,65,9,6,10,3,Software Engineer
54,56,6,9,3,5,Psychologist
65,77,10,6,2,9,Civil Services
90,87,10,5,9,3,AI Engineer
83,79,9,3,10,4,Cybersecurity Analyst
52,67,5,8,3,5,Teacher
45,53,9,7,3,7,Lawyer
62,51,8,7,2,7,Lawyer
70,68,8,4,6,7,Data Analyst
59,49,6,7,4,9,Marketing Manager
46,42,4,9,6,8,Content Creator
79,60,7,4,7,9,Finance Analyst
81,98,7,5,5,2,Doctor
43,49,6,10,6,7,Content Creator
42,43,4,9,5,7,Content Creator
83,64,8,4,6,9,Finance Analyst
72,66,8,7,4,7,Civil Services
94,89,9,3,10,3,AI Engineer
49,32,4,10,5,8,Content Creator
61,74,6,6,6,5,Teacher
44,49,4,6,3,9,Marketing Manager
56,55,5,7,3,8,Marketing Manager
90,88,8,4,9,2,AI Engineer
79,92,5,4,5,3,Biomedical Researcher
96,57,8,3,3,10,Finance Analyst
42,47,4,10,5,5,UI/UX Designer
85,66,9,5,5,10,Finance Analyst
88,98,7,5,5,3,Doctor
84,100,10,3,10,4,AI Engineer
83,100,8,4,3,3,Doctor
73,64,8,5,9,6,Data Analyst
96,85,10,4,9,4,AI Engineer
71,74,8,2,9,3,Cybersecurity Analyst
64,56,8,6,2,9,Civil Services
71,89,8,7,5,3,Biomedical Researcher
63,48,7,7,5,9,Product Manager
55,51,4,9,6,6,UI/UX Designer
52,48,7,9,6,4,UI/UX Designer
44,64,6,8,1,4,Psychologist
72,73,6,3,8,6,Data Analyst
81,99,7,6,6,3,Biomedical Researcher
76,71,6,7,3,6,Teacher
74,68,6,9,6,4,Architect
55,41,6,10,8,7,Content Creator
73,79,9,4,10,1,Cybersecurity Analyst
75,95,8,4,4,3,Doctor
84,99,7,5,5,2,Doctor
77,91,7,6,4,3,Doctor
69,61,6,6,4,8,Civil Services
78,65,8,6,3,8,Civil Services
51,69,7,8,3,4,Psychologist
87,97,7,4,5,3,Doctor
81,74,7,4,8,7,Data Analyst
50,62,4,10,7,6,UI/UX Designer
60,60,5,6,5,9,Product Manager
84,55,6,4,3,9,Finance Analyst
46,44,4,10,6,7,Content Creator
87,96,9,5,3,3,Doctor
82,72,8,4,8,5,Software Engineer
83,71,7,8,4,6,Architect
85,88,9,4,10,3,Cybersecurity Analyst
93,91,10,4,10,3,AI Engineer
57,70,5,7,5,4,Teacher
71,70,8,6,4,4,Teacher
38,53,7,9,8,6,UI/UX Designer
55,51,10,8,3,8,Lawyer
93,99,9,3,10,4,AI Engineer
57,64,8,6,1,8,Civil Services
79,72,8,3,8,4,Cybersecurity Analyst
80,63,10,3,9,4,Cybersecurity Analyst
80,75,7,4,8,3,Software Engineer
100,82,10,5,9,4,AI Engineer
74,93,7,5,4,2,Biomedical Researcher
53,31,5,10,5,7,Content Creator
82,86,8,5,8,3,Biomedical Researcher
87,68,8,4,10,5,Software Engineer
59,57,7,7,5,8,Product Manager
53,50,5,7,3,10,Marketing Manager
70,68,9,5,3,7,Civil Services
83,86,9,5,10,2,AI Engineer
53,53,4,10,5,6,UI/UX Designer
73,72,6,10,6,5,Architect
89,63,8,5,7,5,Data Analyst
68,73,9,5,5,10,Civil Services
45,54,4,10,8,6,UI/UX Designer
66,63,8,6,3,8,Civil Services
79,65,8,9,5,4,Architect
82,67,10,2,8,4,Cybersecurity Analyst
97,94,8,3,8,3,AI Engineer
70,93,8,6,3,3,Biomedical Researcher
72,73,8,3,9,2,Cybersecurity Analyst
78,95,7,4,5,3,Biomedical Researcher
79,71,8,4,9,3,Software Engineer
76,58,6,7,7,8,Product Manager
78,69,8,3,9,6,Data Analyst
59,52,5,7,3,10,Marketing Manager
76,54,7,3,5,9,Finance Analyst
